site_id,state,project_name,n_months,mean_target_diff_mm,mean_control_diff_mm,mean_gap_diff_mm,mean_abs_target_diff_mm,mean_abs_control_diff_mm,mean_abs_gap_diff_mm,rmse_target_diff_mm,rmse_control_diff_mm,rmse_gap_diff_mm
site_133,wyoming,,276,-3.4160743902173913,-3.7539861057971016,0.33791171557971,11.141875114855072,10.667745342028985,13.106804822826087,16.217786673295045,13.988324125138783,18.89496888253996
site_024,california,,276,-19.89570614295652,-16.38454298878261,-3.511163154173913,20.494048807449275,17.465335162514496,12.858253171630434,34.69165805995281,30.228802542040537,21.80185038135072
site_121,utah,,276,0.107663716231884,-5.411861720108695,5.51952543634058,6.485090929637681,11.198957601268114,12.840021534673912,9.47046525390451,14.971324582024273,17.440739561973906
site_119,utah,,276,1.3715983773188405,-5.999721097644927,7.3713194749637685,7.307797406014493,11.236213298369567,12.463483604673913,9.989943365522155,14.70133654495569,16.43413484583659
site_118,utah,,276,-5.886185925833696,-5.411861720108695,-0.474324205725,9.826481242355435,11.198957601268114,12.34423979891268,14.276197468044247,14.971324582024273,16.5378461943709
site_006,california,Kern River Cloud Seeding Program,276,-9.97493163662319,-12.863533602434781,2.8886019658115942,11.47095749821739,13.588238048985508,11.774028986666666,18.41399897603319,23.807783221982657,19.226541595162953
site_129,utah,,276,-5.846894533333334,-5.411861720108695,-0.43503281322463744,10.773545333333335,11.198957601268114,11.566225407065215,13.403432931962117,14.971324582024273,15.783376678026023
site_010,california,,276,-17.759209216992755,-21.798494891189854,4.0392856741971,18.051483268804347,22.3503645399,11.477802453559422,30.6311433123172,37.082720904224786,18.664872533989893
site_044,idaho,,276,-5.411861720108695,-1.1592899199275362,-4.25257180018116,11.198957601268114,7.295724525,10.793091000543479,14.971324582024273,9.50269573619,14.929121030792981
site_122,utah,,276,-3.8883217557246383,-5.411861720108695,1.523539964384058,10.224759930362318,11.198957601268114,10.729255347572463,13.525524061841368,14.971324582024273,14.516380991189868
